,Title,Price,Rating
0,"Boult Audio Maverick with Quad Mic ENC, 45ms Low Latenc...","₹1,499","(14,931)"
1,"truke Buds Vibe with 35dB ANC, 4Mic ENC, 13mm Speaker, ...","₹1,299","(6,733)"
2,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Ba...","₹1,499","(8,66,605)"
3,OnePlus Bullets Wireless Z2 Bluetooth Headset,"₹1,499","(8,66,605)"
4,Apple AirPods(2nd gen) with Charging Case Bluetooth Hea...,"₹8,499","(1,30,512)"
5,"boAt Airdopes 161 with 40 Hours Playback, ASAP Charge &...",₹899,"(6,97,668)"
6,Kedge K-Strings 03 Wireless Bluetooth Neckband With HD ...,₹539,(5)
7,"Boult Audio Ammo 40H Playtime, ZEN ENC Mic, 40ms Low La...","₹1,399","(6,520)"
8,OnePlus Bullets Wireless Z2 Bluetooth Headset,"₹1,499","(8,66,605)"
9,"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",₹899,"(4,08,247)"
10,FITRIC B-55 Bluetooth Headset,₹439,(9)
11,"Boult Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...","₹1,099","(1,29,234)"
12,OnePlus Nord Buds 2 True Wireless Earbuds with 25dB Act...,"₹2,499","(38,933)"
13,summore THUNDER (NAVY BUE) Bluetooth Headset,₹699,
14,OnePlus Bullets Wireless Z2 Bluetooth Headset,"₹1,499","(8,66,605)"
15,OPPO Enco Buds 2 with 28 hours Battery life & Deep Nois...,"₹1,799","(2,54,892)"
16,"Boult Audio Astra with Quad Mic ENC, 48Hrs Battery, Low...","₹1,299","(13,090)"
17,"Boult Audio X50 with 40Hr Battery, Quad Mic ENC, 45ms U...",₹999,"(76,695)"
18,Worricow Good Quality Bluetooth Portable Sports HD Soun...,₹475,(5)
19,OnePlus Bullets Wireless Z2 ANC Bluetooth in Ear Earpho...,"₹1,999","(18,493)"
20,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",₹899,"(97,524)"
21,DigiClues RB M28 Earbuds/TWs Upto 300 Hrs Playtime With...,₹669,(36)
22,realme Techlife Buds T100 with up to 28 Hours Playback ...,"₹1,399","(1,59,377)"
23,OnePlus Nord Buds 2r True Wireless in Ear Earbuds with ...,"₹2,199","(32,373)"
24,APPLE AirPods Pro (2nd generation) with Active Noise Ca...,"₹18,999","(9,626)"
25,"realme Buds Wireless 3 with 30dB ANC, 360 degree Spatia...","₹1,699","(34,853)"
26,boAt Rockerz 255 Pro+ /258 Pro+ with ASAP Charge and up...,"₹1,199","(8,89,922)"
27,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",₹899,"(97,524)"
28,Paradox N21 TWS Touch Control LED Power Display Sport E...,₹800,(5)
29,boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,₹899,"(16,98,081)"
30,"Boult Audio W20 with Zen ENC Mic, 32H Battery Life, Low...",₹999,"(16,255)"
31,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",₹899,"(79,436)"
